columna,tipo,pct_completo,n_unicos
id_registro,str,100.0,130122
version_registro,str,100.0,130122
creado_en,str,100.0,1
actualizado_en,"datetime64[us, UTC]",100.0,1
nombre_entidad,str,100.0,34
departamento,str,97.85278431010897,31
ciudad,str,65.54080017214613,24
localizaci_n,str,100.0,33
orden,str,100.0,2
sector,str,100.0,4
rama,str,100.0,3
entidad_centralizada,str,100.0,3
proceso_de_compra,str,100.0,125787
id_contrato,str,100.0,129370
referencia_del_contrato,str,100.0,130122
estado_contrato,str,100.0,765
codigo_de_categoria_principal,str,100.0,1735
descripcion_del_proceso,str,96.82375001921274,41156
tipo_de_contrato,str,81.16152533775995,97
modalidad_de_contratacion,str,81.14615514670848,568
justificacion_modalidad_de,str,81.14461812760332,33
fecha_de_firma,datetime64[us],76.05170532269716,2266
fecha_de_inicio_del_contrato,datetime64[us],75.96178970504603,2335
fecha_de_fin_del_contrato,datetime64[us],80.62356865095833,1835
condiciones_de_entrega,str,55.45411229461582,344
tipodocproveedor,str,78.21121716542937,155
documento_proveedor,str,77.61792779084244,33450
proveedor_adjudicado,str,78.29421619710732,33327
es_grupo,str,81.14077557984045,355
es_pyme,str,81.14077557984045,240
habilita_pago_adelantado,str,72.17611164906779,13
liquidaci_n,str,81.07775779652941,6
obligaci_n_ambiental,str,81.03779529979558,3
obligaciones_postconsumo,str,81.14538663715591,3
reversion,str,81.14154408939302,2
saldo_cdp,float64,81.14538663715591,30389
espostconflicto,float64,1.3548823411875022,531
dias_adicionados,float64,80.54979173391126,311
puntos_del_acuerdo,str,1.3548823411875022,57
pilares_del_acuerdo,float64,0.7270100367347543,54
urlproceso,str,79.87042928943606,100500
nacionalidad_representante_legal,str,78.12130154777823,1022
recursos_de_credito,str,81.14538663715591,110
codigo_entidad,float64,79.6936720923441,277
codigo_proveedor,float64,80.33691458784833,33113
fecha_inicio_liquidacion,datetime64[us],10.284963342094343,1233
fecha_fin_liquidacion,datetime64[us],10.434822704846225,1711
objeto_del_contrato,str,76.05401085135487,38292
duraci_n_del_contrato,str,77.93071117873995,2217
el_contrato_puede_ser_prorrogado,str,79.38165721399916,486
fecha_de_notificaci_n_de_prorrogaci_n,datetime64[us],1.7522017798681233,418
anio_firma,float64,76.05170532269716,10
mes_firma,float64,76.05170532269716,12
duracion_contrato_dias,float64,75.96102119549346,716
tiene_proveedor_identificado,bool,100.0,2
